api_uri,district,domain,facebook_account,facebook_id,first_name,id,last_name,middle_name,missed_votes_pct,party,rss_url,seniority,state,thomas_id,twitter_account,url,votes_with_party_pct
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000944.json,13,www.brown.senate.gov,,,Sherrod,B000944,Brown,,6.67,D,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,14,OH,136,SenSherrodBrown,http://www.brown.senate.gov,93.73
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001149.json,5,,,,Dan,B001149,Burton,,6.67,R,,24,IN,154,RepDanBurton,,92.67
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001203.json,4,,,,Steve,B001203,Buyer,,7.50,R,,14,IN,160,,,93.86
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001227.json,1,www.brady.house.gov,RepRobertBrady,118845109487,Robert,B001227,Brady,A.,5.77,D,http://brady.house.gov/rss.xml,10,PA,1469,RepBrady,http://www.brady.house.gov/,92.22
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001228.json,45,,,,Mary,B001228,Bono Mack,,6.18,R,,10,CA,1465,Rep_BonoMack,,91.31
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001229.json,3,,,,Brian,B001229,Baird,,5.19,D,,8,WA,1557,,,90.36
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001230.json,2,baldwin.senate.gov,TammyBaldwin,7357041101,Tammy,B001230,Baldwin,,0.08,D,http://www.baldwin.senate.gov/rss/feeds/?type=all,8,WI,1558,SenatorBaldwin,http://www.baldwin.senate.gov,92.33
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001231.json,1,,,,Shelley,B001231,Berkley,,5.11,D,,8,NV,1576,repberkley,,92.01
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001232.json,13,,,,Judy,B001232,Biggert,,0.82,R,,8,IL,1577,JudyBiggert,,89.78
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001234.json,43,,,,Joe,B001234,Baca,,4.28,D,,8,CA,1614,,,92.94
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001235.json,1,,,,Henry,B001235,Brown Jr.,E.,4.70,R,,6,SC,1669,,,95.42
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001236.json,3,,JohnBoozman,7686715735,John,B001236,Boozman,,2.97,R,http://www.boozman.senate.gov/public/index.cfm/rss/feed,6,AR,1687,JohnBoozman,http://www.boozman.senate.gov,95.33
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001239.json,3,,,,J.,B001239,Barrett,Gresham,2.55,R,,4,SC,1745,greshambarrett,,90.03
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001240.json,7,,,,Bob,B001240,Beauprez,,5.93,R,,4,CO,1712,,,92.47
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001242.json,1,timbishop.house.gov,RepTimBishop,7940339401,Timothy,B001242,Bishop,H.,1.73,D,http://timbishop.house.gov/rss/latest-news.xml,4,NY,1740,timbishopny,http://timbishop.house.gov/,95.22
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001243.json,7,blackburn.house.gov,marshablackburn,6470828395,Marsha,B001243,Blackburn,,0.99,R,http://blackburn.house.gov/news/rss.aspx,4,TN,1748,MarshaBlackburn,http://blackburn.house.gov/,90.93
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001244.json,1,bonner.house.gov,jobonner,49704847429,Jo,B001244,Bonner,,2.39,R,http://bonner.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=1,4,AL,1703,repjobonner,http://bonner.house.gov/,95.27
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001245.json,79,bordallo.house.gov,madeleine.bordallo,161729837225622,Madeleine,B001245,Bordallo,Z.,0.00,D,http://bordallo.house.gov/rss.xml,4,GU,1723,CandiceMiller,http://www.house.gov/bordallo,0.00
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001246.json,1,,,,Jeb,B001246,Bradley,E.,0.16,R,,4,NH,1736,,,86.96
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001247.json,5,,,,Ginny,B001247,Brown-Waite,,6.92,R,,4,FL,1713,,,89.20
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001248.json,26,burgess.house.gov,michaelcburgess,6916472567,Michael,B001248,Burgess,C.,1.07,R,http://burgess.house.gov/news/rss.aspx,4,TX,1751,michaelcburgess,http://burgess.house.gov/,93.09
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001250.json,1,robbishop.house.gov,RepRobBishop,,Rob,B001250,Bishop,,5.35,R,http://robbishop.house.gov/news/rss.aspx,4,UT,1753,RepRobBishop,http://robbishop.house.gov/,93.30
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001251.json,1,butterfield.house.gov,congressmangkbutterfield,274687979233940,G.,B001251,Butterfield,K.,2.14,D,http://butterfield.house.gov/rss/press-releases.xml,4,NC,1761,gkbutterfield,http://www.house.gov/butterfield,93.69
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001252.json,12,barrow.house.gov,CongressmanJohnBarrow,285483767395,John,B001252,Barrow,,1.48,D,http://barrow.house.gov/rss.xml,2,GA,1780,repjohnbarrow,http://barrow.house.gov/,81.35
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001253.json,8,,,,Melissa,B001253,Bean,,0.82,D,,2,IL,1782,,,84.14
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001254.json,2,,,,Dan,B001254,Boren,,2.47,D,,2,OK,1796,,,76.10
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001255.json,7,boustany.house.gov,RepBoustany,197407646951718,Charles,B001255,Boustany Jr.,,2.22,R,http://boustany.house.gov/common/rss/index.cfm?rss=82,2,LA,1787,RepBoustany,http://www.house.gov/boustany,94.95
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000059.json,44,calvert.house.gov,70063393423,,Ken,C000059,Calvert,,2.72,R,http://calvert.house.gov/news/rss.aspx,14,CA,165,KenCalvert,http://calvert.house.gov/,96.27
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000071.json,4,camp.house.gov,repdavecamp,6775033524,Dave,C000071,Camp,,3.54,R,http://camp.house.gov/News/Rss.aspx,16,MI,166,RepDaveCamp,http://camp.house.gov/,95.56
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000116.json,3,,,,Christopher,C000116,Cannon,B.,8.60,R,,10,UT,1470,,,93.03
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000141.json,3,www.cardin.senate.gov,senatorbencardin,120421834675191,Benjamin,C000141,Cardin,L.,3.95,D,http://www.cardin.senate.gov/rss/feeds/?type=all,20,MD,174,SenatorCardin,http://www.cardin.senate.gov,95.80
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000191.json,7,,,,Julia,C000191,Carson,M.,7.99,D,,10,IN,1473,,,94.27
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000243.json,1,,,,Michael,C000243,Castle,N.,4.12,R,,14,DE,183,repmikecastle,,84.88
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000266.json,1,chabot.house.gov,RepSteveChabot,204705339555378,Steven,C000266,Chabot,J.,1.24,R,http://chabot.house.gov/common/rss/index.cfm?rss=49,12,OH,186,RepSteveChabot,http://chabot.house.gov/,89.07
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000380.json,79,donnachristensen.house.gov,138013351189,138013351189,Donna,C000380,Christensen,M.C.,0.00,D,http://donnachristensen.house.gov/rss.xml,10,VI,1474,DelegateDonna,http://donnachristensen.house.gov/,0.00
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000537.json,6,clyburn.house.gov,jameseclyburn,127744320598870,James,C000537,Clyburn,E.,2.80,D,http://clyburn.house.gov/rss.xml,14,SC,208,clyburn,http://clyburn.house.gov/,94.41
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000556.json,6,coble.house.gov,HowardCoble6,208742429162356,Howard,C000556,Coble,,3.21,R,http://coble.house.gov/News/Rss.aspx,22,NC,211,HowardCoble,http://www.house.gov/coble,89.96
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000714.json,14,conyers.house.gov,CongressmanConyers,206947066849,John,C000714,Conyers Jr.,,3.87,D,http://conyers.house.gov/index.cfm/rss/feed,42,MI,229,repjohnconyers,http://www.house.gov/conyers,89.55
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000754.json,5,www.cooper.house.gov,JimCooper,,Jim,C000754,Cooper,,2.39,D,http://www.cooper.house.gov/index.php?option=com_content&amp;view=category&amp;layout=blog&amp;id=38&amp;format=feed&amp;type=rss,4,TN,231,repjimcooper,http://www.cooper.house.gov/,83.46
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000794.json,12,,,,Jerry,C000794,Costello,F.,3.79,D,,20,IL,238,jerrycostello,,87.33
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000830.json,48,,,,Christopher,C000830,Cox,,12.80,R,,18,CA,242,,,92.66
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000868.json,5,,,,Robert,C000868,Cramer,E.,3.38,D,,16,AL,247,,,77.83
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000962.json,1,,,,Barbara,C000962,Cubin,L.,10.05,R,,12,WY,254,,,92.03
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000984.json,7,cummings.house.gov,elijahcummings,291368465380,Elijah,C000984,Cummings,E.,2.80,D,http://cummings.house.gov/rss.xml,12,MD,256,ElijahECummings,http://www.house.gov/cummings,95.42
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000994.json,50,,,,Randy,C000994,Cunningham,&#x27;Duke&#x27;,6.91,R,,16,CA,258,,,95.41
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001036.json,23,capps.house.gov,loiscapps,168989481141,Lois,C001036,Capps,,2.72,D,http://capps.house.gov/rss.xml,10,CA,1471,RepLoisCapps,http://capps.house.gov/,94.58
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001037.json,8,www.house.gov/capuano/,RepMichaelCapuano,151168844937573,Michael,C001037,Capuano,E.,2.64,D,,8,MA,1564,,http://www.house.gov/capuano,89.76
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001038.json,7,crowley.house.gov,repjoecrowley,176197712425090,Joseph,C001038,Crowley,,3.54,D,http://crowley.house.gov/rss.xml,8,NY,1604,repjoecrowley,http://crowley.house.gov/,93.08
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001045.json,4,crenshaw.house.gov,200388204657,200388204657,Ander,C001045,Crenshaw,,0.91,R,,6,FL,1643,AnderCrenshaw,http://crenshaw.house.gov/,96.01
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001046.json,7,cantor.house.gov,,,Eric,C001046,Cantor,,1.98,R,http://cantor.house.gov/rss.xml,6,VA,1674,gopleader,http://cantor.house.gov/,94.79
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001047.json,2,capito.house.gov,8057864757,8057864757,Shelley,C001047,Capito,Moore,2.14,R,http://capito.house.gov/common/rss//index.cfm?rss=85,6,WV,1676,RepShelley,http://capito.house.gov/,92.68
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001048.json,7,culberson.house.gov,CongressmanCulberson,1751723339,John,C001048,Culberson,,5.19,R,http://culberson.house.gov/feed/rss/,6,TX,1670,congculberson,http://culberson.house.gov/,94.87
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001049.json,1,lacyclay.house.gov,109135405838588,109135405838588,William,C001049,Clay,Lacy,8.81,D,http://lacyclay.house.gov/rss/press-releases.xml,6,MO,1654,,http://www.house.gov/clay,91.87
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001050.json,18,,,,Dennis,C001050,Cardoza,,4.20,D,,4,CA,1709,RepCardoza,,86.93
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001051.json,31,carter.house.gov,judgecarter,1287257083,John,C001051,Carter,,3.13,R,http://carter.house.gov/common/rss/?rss=40,4,TX,1752,JudgeCarter,http://carter.house.gov/,95.15
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001052.json,2,,,,Chris,C001052,Chocola,,0.82,R,,4,IN,1726,,,91.11
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001053.json,4,cole.house.gov,TomColeOK04,146497782066300,Tom,C001053,Cole,,2.06,R,http://cole.house.gov/rss.xml,4,OK,1742,tomcoleok04,http://cole.house.gov/,95.46
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001055.json,2,,,,Ed,C001055,Case,,7.17,D,,4,HI,1693,,,86.87
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001058.json,6,,,,Ben,C001058,Chandler,,1.32,D,,4,KY,1759,,,87.65
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001059.json,20,costa.house.gov,RepJimCosta,,Jim,C001059,Costa,,5.19,D,http://costa.house.gov/index.php?format=feed&amp;type=rss,2,CA,1774,repjimcosta,http://costa.house.gov/,86.53
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001060.json,3,,,,Russ,C001060,Carnahan,,0.74,D,,2,MO,1789,RepCarnahan,,94.36
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001061.json,5,cleaver.house.gov,emanuelcleaverii,7954512692,Emanuel,C001061,Cleaver II,,3.54,D,http://cleaver.house.gov/rss.xml,2,MO,1790,repcleaver,http://www.house.gov/cleaver,93.77
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001062.json,11,conaway.house.gov,mike.conaway,203482063021985,K.,C001062,Conaway,Michael,3.95,R,,2,TX,1805,ConawayTX11,http://conaway.house.gov/,94.34
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001063.json,28,cuellar.house.gov,152569121550,152569121550,Henry,C001063,Cuellar,,3.29,D,http://cuellar.house.gov/news/rss.aspx,2,TX,1807,RepCuellar,http://cuellar.house.gov/,81.43
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001064.json,48,www.campbell.house.gov,JohnCampbell,60546090739,John,C001064,Campbell,,2.85,R,http://www.campbell.house.gov/rss/press1.xml,2,CA,1816,RepJohnCampbell,http://www.campbell.house.gov/,88.60
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000096.json,7,www.davis.house.gov,280757931935749,,Danny,D000096,Davis,K.,5.35,D,http://davis.house.gov/index.php?format=feed&amp;type=rss,10,IL,1477,,http://davis.house.gov/,92.86
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000114.json,11,,,,James,D000114,Davis,,24.79,D,,10,FL,1478,,,92.66
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000136.json,11,,,,Thomas,D000136,Davis,M.,4.78,R,,12,VA,274,,,90.31
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000168.json,10,,,,Nathan,D000168,Deal,,5.93,R,,14,GA,277,,,90.54
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000191.json,4,www.defazio.house.gov,RepPeterDeFazio,94324364811,Peter,D000191,DeFazio,A.,1.89,D,http://www.defazio.house.gov/index.php?option=com_ninjarsssyndicator&amp;feed_id=1&amp;format=raw,20,OR,279,RepPeterDeFazio,http://www.defazio.house.gov/,89.50
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000197.json,1,degette.house.gov,DianaDeGette,110757973488,Diana,D000197,DeGette,,4.04,D,http://degette.house.gov/index.php?option=com_content&amp;view=category&amp;id=76&amp;Itemid=227&amp;format=feed&amp;type=rss,10,CO,1479,RepDianaDeGette,http://www.house.gov/degette,93.73
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000210.json,10,,,,Bill,D000210,Delahunt,,6.43,D,,10,MA,1480,,,92.61
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000216.json,3,delauro.house.gov,CongresswomanRosaDeLauro,181302611907634,Rosa,D000216,DeLauro,,1.24,D,http://delauro.house.gov/index.php?option=com_ninjarsssyndicator&amp;feed_id=1&amp;format=raw,16,CT,281,rosadelauro,http://www.house.gov/delauro,95.66
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000217.json,22,,,,Thomas,D000217,DeLay,Dale,8.25,R,,22,TX,282,,,94.91
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000299.json,21,,,,Lincoln,D000299,Diaz-Balart,,7.17,R,,14,FL,294,,,92.64
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000327.json,6,,,,Norman,D000327,Dicks,D.,2.55,D,,30,WA,297,RepNormDicks,,92.39
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000355.json,15,dingell.house.gov,johndingell,87490183861,John,D000355,Dingell,D.,3.05,D,http://dingell.house.gov/rss.xml,52,MI,299,john_dingell,http://www.house.gov/dingell,90.82
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000399.json,25,doggett.house.gov,lloyddoggett,154050553704,Lloyd,D000399,Doggett,,2.47,D,http://doggett.house.gov/index.php/component/ninjarsssyndicator/?feed_id=1&amp;format=raw,12,TX,303,RepLloydDoggett,http://doggett.house.gov/,93.75
